student_id,course_type,institute_tier,region,cgpa,internship_months,employer_tier,iqi,behavioral_activity_score,field_demand_score,macro_climate_index,monthly_emi,placed_3m,placed_6m,placed_12m,actual_salary
AMCAT-1094324,Engineering,B,Chennai,7.1,5,SME,0.28,83,52,0.88,19500,1,1,1,340000
AMCAT-580616,Engineering,A,Delhi NCR,7.93,4,SME,0.251,16,53,0.76,17000,0,1,1,360000
AMCAT-1208010,Engineering,B,Chennai,7.43,5,Startup,0.318,47,50,0.88,12500,0,1,1,145000
AMCAT-1073190,Engineering,B,Delhi NCR,7.09,4,Startup,0.252,100,52,0.76,12000,0,0,0,215000
AMCAT-942679,Engineering,B,Delhi NCR,6.5,5,SME,0.277,73,48,0.84,15500,0,0,0,350000
AMCAT-602377,Engineering,A,Hyderabad,7.41,5,Startup,0.271,40,53,0.76,21000,1,1,1,270000
AMCAT-922508,Engineering,B,Delhi NCR,6.39,5,Startup,0.28,76,48,0.88,13500,1,1,1,80000
AMCAT-533417,Engineering,B,Bengaluru,7.64,5,Startup,0.335,84,48,0.78,12000,0,0,1,200000
AMCAT-245887,Engineering,B,Delhi NCR,6.02,4,Startup,0.28,54,57,0.84,12000,1,1,1,120000
AMCAT-955678,Engineering,B,Delhi NCR,6.6,4,Startup,0.26,29,52,0.88,15500,1,1,1,145000
AMCAT-895673,Engineering,A,Delhi NCR,7.1,5,SME,0.359,53,50,0.88,20000,1,1,1,350000
AMCAT-1207660,Engineering,B,Hyderabad,7.1,2,Startup,0.187,18,48,0.88,15500,1,1,1,120000
AMCAT-247617,Engineering,B,Bengaluru,9.21,5,SME,0.275,52,53,0.84,12500,0,0,1,380000
AMCAT-1230582,Engineering,B,Chennai,7.9,3,Startup,0.248,43,57,0.88,14500,1,1,1,110000
AMCAT-592833,Engineering,B,Delhi NCR,7.4,4,Startup,0.247,64,52,0.78,14500,0,0,0,205000
AMCAT-434621,Engineering,B,Chennai,7.7,5,Startup,0.277,26,53,0.78,14500,0,1,1,95000
AMCAT-338428,Engineering,B,Mumbai,7.4,4,SME,0.303,22,52,0.76,16000,1,1,1,390000
AMCAT-305559,Engineering,B,Bengaluru,5.75,4,Startup,0.271,100,50,0.84,14500,0,0,1,270000
AMCAT-852310,Engineering,B,Hyderabad,5.78,4,Startup,0.285,31,32,0.76,15500,0,0,0,120000
AMCAT-794209,Engineering,B,Delhi NCR,5.76,3,SME,0.265,71,52,0.88,14000,0,0,1,400000
AMCAT-1082717,Engineering,B,Chennai,8.0,4,SME,0.305,52,52,0.88,14500,1,1,1,350000
AMCAT-989860,Engineering,B,Bengaluru,6.77,5,Startup,0.309,36,52,0.88,15500,1,1,1,250000
AMCAT-416752,Engineering,B,Delhi NCR,6.82,5,Startup,0.282,58,48,0.84,10500,0,0,0,240000
AMCAT-294700,Engineering,B,Hyderabad,8.08,4,MNC,0.312,49,48,0.84,13000,0,0,1,525000
AMCAT-1063642,Engineering,B,Delhi NCR,6.69,5,Startup,0.299,28,48,0.76,13000,1,1,1,200000
AMCAT-536053,Engineering,B,Bengaluru,5.5,4,Startup,0.253,37,53,0.84,12500,1,1,1,120000
AMCAT-652717,Engineering,B,Hyderabad,7.0,4,SME,0.216,34,50,0.76,13500,0,1,1,305000
AMCAT-940402,Engineering,B,Chennai,8.5,4,SME,0.201,84,52,0.88,17500,0,1,1,300000
AMCAT-1218578,Engineering,B,Delhi NCR,6.53,3,Startup,0.269,34,48,0.88,12000,1,1,1,145000
AMCAT-636871,Engineering,B,Delhi NCR,6.93,4,Startup,0.234,0,57,0.76,16500,0,0,0,150000
AMCAT-031330,Engineering,A,Delhi NCR,7.21,4,MNC,0.318,62,50,0.87,14000,1,1,1,600000
AMCAT-1044453,Engineering,B,Chennai,7.0,4,SME,0.322,82,49,0.76,13000,0,0,1,310000
AMCAT-125529,Engineering,B,Hyderabad,7.61,4,SME,0.305,58,48,0.87,14500,0,0,1,455000
AMCAT-810433,Engineering,B,Delhi NCR,7.15,4,SME,0.297,0,48,0.88,15500,1,1,1,400000
AMCAT-086373,Engineering,B,Chennai,7.76,5,Startup,0.288,55,53,0.87,16000,1,1,1,150000
AMCAT-1237891,Engineering,B,Delhi NCR,7.0,4,Startup,0.284,61,52,0.91,16000,1,1,1,250000
AMCAT-801755,Engineering,B,Hyderabad,7.64,5,SME,0.352,0,52,0.76,13000,0,0,1,320000
AMCAT-1089599,Engineering,B,Mumbai,6.12,4,Startup,0.305,100,50,0.76,13000,0,0,1,250000
AMCAT-1230478,Engineering,B,Bengaluru,6.0,5,Startup,0.31,84,52,0.88,16000,1,1,1,200000
AMCAT-982400,Engineering,B,Delhi NCR,6.7,5,Startup,0.277,60,52,0.88,13500,1,1,1,240000
AMCAT-1225896,Engineering,B,Mumbai,7.5,4,Startup,0.212,53,52,0.76,11000,0,0,0,120000
AMCAT-1067148,Engineering,B,Bengaluru,7.58,4,SME,0.295,51,48,0.88,11000,1,1,1,300000
AMCAT-361583,Engineering,B,Bengaluru,8.76,5,MNC,0.305,53,53,0.78,11500,1,1,1,800000
AMCAT-754392,Engineering,B,Chennai,6.32,3,Startup,0.226,47,52,0.76,15000,0,0,0,120000
AMCAT-1168608,Engineering,B,Bengaluru,7.35,3,SME,0.264,75,48,0.88,14500,0,1,1,325000
AMCAT-1089852,Engineering,B,Hyderabad,7.86,3,Startup,0.262,61,48,0.76,15500,1,1,1,100000
AMCAT-1098869,Engineering,B,Delhi NCR,7.41,6,SME,0.368,62,52,0.88,13000,1,1,1,300000
AMCAT-661546,Engineering,B,Delhi NCR,6.94,5,Startup,0.271,57,48,0.76,14500,0,0,0,280000
AMCAT-087067,Engineering,B,Mumbai,7.62,4,Startup,0.248,40,52,0.87,15500,0,0,0,215000
AMCAT-836060,Engineering,B,Delhi NCR,5.5,3,Startup,0.237,45,48,0.88,13000,1,1,1,145000
AMCAT-1255801,Engineering,B,Delhi NCR,6.31,5,SME,0.291,100,48,0.91,15000,1,1,1,315000
AMCAT-662008,Engineering,B,Chennai,7.11,3,Startup,0.227,93,53,0.76,12500,0,1,1,100000
AMCAT-1259641,Engineering,B,Delhi NCR,7.08,5,Startup,0.308,85,52,0.76,13000,0,0,0,220000
AMCAT-525290,Engineering,B,Chennai,7.99,5,SME,0.292,69,50,0.78,13000,0,0,1,370000
AMCAT-324269,Engineering,B,Mumbai,6.0,4,Startup,0.307,96,46,0.78,11000,0,0,1,145000
AMCAT-1151485,Engineering,B,Bengaluru,7.74,4,Startup,0.233,74,48,0.76,15000,0,0,1,275000
AMCAT-1250429,Engineering,B,Hyderabad,6.6,4,MNC,0.207,76,52,0.76,13000,0,0,0,1500000
AMCAT-1274522,Engineering,B,Mumbai,6.6,4,SME,0.266,57,50,0.88,14000,0,1,1,325000
AMCAT-843467,Engineering,B,Chennai,6.15,5,Startup,0.272,90,49,0.76,15000,1,1,1,275000
AMCAT-318391,Engineering,B,Hyderabad,8.82,4,SME,0.269,60,50,0.78,15000,1,1,1,425000
AMCAT-060260,Engineering,B,Delhi NCR,6.4,4,SME,0.306,39,50,0.87,15500,0,0,1,450000
AMCAT-1026621,Engineering,B,Hyderabad,7.01,6,SME,0.36,81,52,0.88,14000,1,1,1,300000
AMCAT-112994,Engineering,B,Delhi NCR,7.78,4,SME,0.305,65,50,0.87,13000,0,0,1,470000
AMCAT-1085716,Engineering,B,Delhi NCR,8.0,3,SME,0.255,95,50,0.76,14000,0,0,1,300000
AMCAT-043693,Engineering,B,Chennai,6.67,2,Startup,0.187,42,49,0.87,10000,0,0,0,205000
AMCAT-836781,Engineering,B,Mumbai,6.5,5,SME,0.306,100,48,0.78,10500,0,0,1,310000
AMCAT-682615,Engineering,B,Delhi NCR,7.0,3,SME,0.176,62,53,0.76,10500,0,0,0,300000
AMCAT-773975,Engineering,B,Delhi NCR,6.3,5,SME,0.312,8,52,0.76,11500,1,1,1,460000
AMCAT-1190941,Engineering,B,Hyderabad,7.2,5,SME,0.283,64,48,0.88,15000,0,0,1,320000
AMCAT-957046,Engineering,B,Delhi NCR,6.97,6,SME,0.374,71,50,0.88,11500,0,1,1,340000
AMCAT-1074693,Engineering,B,Delhi NCR,6.22,4,Startup,0.215,3,52,0.76,13000,0,0,1,120000
AMCAT-985092,Engineering,B,Delhi NCR,6.7,4,MNC,0.338,30,48,0.88,17000,1,1,1,510000
AMCAT-1059903,Engineering,B,Mumbai,6.93,4,SME,0.193,22,41,0.78,13000,1,1,1,300000
AMCAT-246607,Engineering,B,Chennai,7.85,5,SME,0.276,72,53,0.84,16000,0,1,1,480000
AMCAT-295383,Engineering,B,Chennai,7.35,3,Startup,0.265,56,53,0.84,11500,0,1,1,170000
AMCAT-1087220,Engineering,B,Hyderabad,7.0,4,SME,0.318,62,52,0.93,13500,1,1,1,340000
AMCAT-050876,Engineering,B,Mumbai,6.7,5,MNC,0.316,49,50,0.68,11500,0,0,1,640000
AMCAT-815219,Engineering,B,Delhi NCR,7.8,4,SME,0.309,22,52,0.76,13000,0,1,1,330000
AMCAT-794194,Engineering,B,Delhi NCR,6.41,5,Startup,0.292,52,48,0.88,16000,1,1,1,225000
AMCAT-261236,Engineering,B,Delhi NCR,6.19,2,Startup,0.188,61,53,0.84,9500,1,1,1,180000
AMCAT-354011,Engineering,B,Delhi NCR,7.27,4,SME,0.29,61,48,0.78,15000,0,1,1,440000
AMCAT-407824,Engineering,B,Bengaluru,7.7,4,SME,0.303,45,41,0.78,14500,0,0,0,305000
AMCAT-483864,Engineering,B,Delhi NCR,7.76,4,MNC,0.325,21,53,0.78,12500,0,1,1,500000
AMCAT-302031,Engineering,B,Delhi NCR,6.2,4,Startup,0.228,44,48,0.87,10500,0,0,0,270000
AMCAT-823180,Engineering,B,Delhi NCR,7.56,3,SME,0.251,63,52,0.88,14000,1,1,1,300000
AMCAT-312164,Engineering,B,Delhi NCR,6.86,4,MNC,0.295,83,57,0.87,12500,1,1,1,1200000
AMCAT-614524,Engineering,B,Delhi NCR,6.8,5,SME,0.279,39,49,0.88,14500,0,1,1,315000
AMCAT-796063,Engineering,B,Chennai,6.57,5,SME,0.271,55,52,0.88,14000,0,1,1,300000
AMCAT-340246,Engineering,B,Delhi NCR,6.99,3,SME,0.26,42,48,0.76,18000,1,1,1,320000
AMCAT-359281,Engineering,B,Bengaluru,6.15,5,Startup,0.318,64,53,0.78,13500,0,0,1,180000
AMCAT-206734,Engineering,B,Delhi NCR,6.7,4,MNC,0.28,28,53,0.84,11500,0,1,1,675000
AMCAT-1044420,Engineering,B,Chennai,6.8,4,Startup,0.216,56,50,0.88,14500,0,1,1,120000
AMCAT-902366,Engineering,B,Bengaluru,6.75,4,SME,0.29,66,52,0.88,14500,1,1,1,325000
AMCAT-529858,Engineering,B,Delhi NCR,7.1,5,SME,0.298,50,50,0.76,17500,0,0,1,350000
AMCAT-801733,Engineering,B,Hyderabad,7.1,4,Startup,0.224,93,52,0.76,16000,0,0,1,205000
AMCAT-434552,Engineering,B,Chennai,5.53,4,SME,0.224,36,48,0.78,15000,0,0,0,300000
AMCAT-1097197,Engineering,B,Hyderabad,7.49,5,SME,0.334,69,48,0.76,17500,0,0,1,325000
AMCAT-925705,Engineering,B,Delhi NCR,6.7,3,Startup,0.234,30,50,0.76,11000,0,1,1,105000
AMCAT-036759,Engineering,B,Delhi NCR,6.86,5,Startup,0.303,42,48,0.87,12500,0,1,1,250000
AMCAT-198026,Engineering,A,Delhi NCR,7.01,4,SME,0.271,39,50,0.84,15500,0,0,0,340000
AMCAT-964319,Engineering,B,Chennai,6.63,2,Startup,0.177,60,50,0.88,13000,0,1,1,195000
AMCAT-1089133,Engineering,B,Delhi NCR,6.0,4,SME,0.343,57,57,0.88,10500,1,1,1,320000
AMCAT-633445,Engineering,B,Delhi NCR,7.23,5,SME,0.382,100,57,0.76,15500,0,0,1,360000
AMCAT-1062173,Engineering,B,Hyderabad,6.2,3,Startup,0.236,69,52,0.76,13500,1,1,1,145000
AMCAT-991197,Engineering,B,Bengaluru,6.0,4,Startup,0.256,11,48,0.88,10500,0,1,1,100000
AMCAT-053690,Engineering,B,Mumbai,5.3,3,SME,0.202,56,49,0.87,11500,0,0,0,325000
AMCAT-612253,Engineering,B,Delhi NCR,6.5,4,SME,0.282,50,52,0.76,15000,1,1,1,385000
AMCAT-1218606,Engineering,B,Delhi NCR,5.99,4,Startup,0.222,57,50,0.88,16000,0,1,1,120000
AMCAT-1207950,Engineering,B,Chennai,7.4,5,Startup,0.29,100,52,0.88,19000,1,1,1,235000
AMCAT-611620,Engineering,B,Delhi NCR,7.68,5,MNC,0.357,9,50,0.76,21500,1,1,1,615000
AMCAT-721786,Engineering,B,Hyderabad,6.45,3,Startup,0.232,32,48,0.76,15000,0,0,0,105000
AMCAT-992663,Engineering,B,Chennai,8.4,5,Startup,0.308,41,52,0.88,11500,1,1,1,290000
AMCAT-924485,Engineering,B,Delhi NCR,6.4,3,Startup,0.238,38,52,0.88,8500,1,1,1,145000
AMCAT-861982,Engineering,B,Delhi NCR,6.3,5,SME,0.35,76,48,0.76,14500,1,1,1,305000
AMCAT-813473,Engineering,B,Delhi NCR,6.57,4,Startup,0.332,100,52,0.78,12000,0,0,0,275000
AMCAT-126316,Engineering,B,Chennai,7.06,4,Startup,0.224,41,46,0.87,13000,0,1,1,180000
AMCAT-333433,Engineering,B,Delhi NCR,8.35,3,Startup,0.269,36,48,0.78,12500,0,0,1,140000
AMCAT-1088496,Engineering,B,Bengaluru,6.08,6,Startup,0.356,48,48,0.76,13500,0,0,0,120000
AMCAT-474217,Engineering,B,Chennai,7.32,4,SME,0.241,80,52,0.78,16500,1,1,1,320000
AMCAT-728009,Engineering,B,Delhi NCR,6.85,4,SME,0.29,17,50,0.78,14500,0,0,0,405000
AMCAT-895695,Engineering,A,Delhi NCR,7.5,5,SME,0.317,53,50,0.88,17500,1,1,1,325000
AMCAT-755080,Engineering,B,Chennai,7.8,5,SME,0.292,0,52,0.76,11500,0,0,1,340000
AMCAT-211700,Engineering,B,Delhi NCR,7.2,3,Startup,0.228,65,53,0.84,10000,0,1,1,225000
AMCAT-954862,Engineering,B,Bengaluru,5.8,4,Startup,0.231,70,52,0.88,13000,0,1,1,200000
AMCAT-1296310,Engineering,B,Delhi NCR,6.4,5,Startup,0.309,92,50,0.88,14000,1,1,1,225000
AMCAT-1271681,Engineering,A,Delhi NCR,6.3,5,SME,0.272,34,50,0.88,22500,0,0,1,335000
AMCAT-582303,Engineering,A,Delhi NCR,7.86,6,SME,0.368,52,48,0.76,18500,0,1,1,350000
AMCAT-344262,Engineering,A,Delhi NCR,7.9,5,Startup,0.31,97,48,0.78,20500,0,0,1,240000
AMCAT-323894,Engineering,A,Delhi NCR,8.39,4,MNC,0.338,17,52,0.78,17000,1,1,1,1860000
AMCAT-307910,Engineering,B,Delhi NCR,6.5,4,SME,0.278,76,57,0.78,11000,0,0,1,435000
AMCAT-827550,Engineering,A,Delhi NCR,7.76,5,SME,0.275,68,52,0.88,15500,1,1,1,375000
AMCAT-693625,Engineering,B,Delhi NCR,7.97,3,Startup,0.228,80,52,0.76,12000,0,0,1,275000
AMCAT-467560,Engineering,B,Hyderabad,7.14,4,Startup,0.254,77,53,0.78,19500,0,1,1,235000
AMCAT-326795,Engineering,B,Mumbai,7.45,4,SME,0.263,66,53,0.78,12000,0,0,1,455000
AMCAT-1089283,Engineering,B,Delhi NCR,6.5,3,Startup,0.252,84,69,0.88,16000,1,1,1,110000
AMCAT-1057665,Engineering,B,Hyderabad,7.49,5,Startup,0.306,49,52,0.88,11500,1,1,1,180000
AMCAT-670276,Engineering,B,Chennai,6.72,4,SME,0.316,80,48,0.76,16500,0,1,1,430000
AMCAT-509882,Engineering,B,Delhi NCR,7.47,4,SME,0.306,42,53,0.78,15000,0,0,1,450000
AMCAT-1288245,Engineering,B,Delhi NCR,7.9,4,Startup,0.331,55,48,0.76,13500,1,1,1,240000
AMCAT-1269394,Engineering,B,Chennai,7.9,5,SME,0.309,62,50,0.76,14000,0,1,1,300000
AMCAT-639785,Engineering,B,Delhi NCR,7.75,4,Startup,0.262,26,52,0.76,12500,1,1,1,180000
AMCAT-692668,Engineering,B,Chennai,7.61,4,Startup,0.206,33,52,0.76,15000,0,1,1,70000
AMCAT-1193753,Engineering,B,Hyderabad,7.53,5,SME,0.292,34,48,0.88,13000,0,1,1,300000
AMCAT-542424,Engineering,B,Delhi NCR,7.5,4,Startup,0.268,35,49,0.76,11000,0,0,0,215000
AMCAT-082837,Engineering,A,Delhi NCR,6.72,4,SME,0.303,0,41,0.84,15000,0,0,1,450000
AMCAT-317627,Engineering,B,Delhi NCR,6.26,4,Startup,0.307,60,48,0.87,14500,0,0,1,180000
AMCAT-197194,Engineering,B,Delhi NCR,6.82,5,Startup,0.273,36,50,0.84,18000,0,0,0,240000
AMCAT-336792,Engineering,B,Chennai,9.3,4,SME,0.325,69,53,0.78,14500,0,0,1,410000
AMCAT-1036813,Engineering,B,Delhi NCR,7.52,4,SME,0.343,29,52,0.78,13500,0,0,0,305000
AMCAT-864904,Engineering,B,Chennai,7.43,3,Startup,0.224,93,50,0.78,14500,0,0,1,215000
AMCAT-531765,Engineering,B,Hyderabad,7.28,4,Startup,0.193,29,57,0.76,17500,1,1,1,200000
AMCAT-872116,Engineering,B,Chennai,7.44,4,SME,0.291,63,57,0.88,14500,1,1,1,300000
AMCAT-231253,Engineering,A,Delhi NCR,6.0,5,MNC,0.271,46,48,0.84,17000,1,1,1,550000
AMCAT-211840,Engineering,B,Delhi NCR,7.66,5,Startup,0.273,14,50,0.84,17000,0,0,1,35000
AMCAT-863466,Engineering,A,Delhi NCR,7.17,6,SME,0.379,67,52,0.76,19000,0,1,1,350000
AMCAT-320969,Engineering,A,Delhi NCR,7.2,4,MNC,0.346,42,76,0.78,22000,1,1,1,500000
AMCAT-1001099,Engineering,B,Chennai,7.51,4,Startup,0.248,38,52,0.88,14500,1,1,1,240000
AMCAT-688499,Engineering,A,Delhi NCR,7.83,6,SME,0.395,29,48,0.78,15000,0,1,1,385000
AMCAT-1250484,Engineering,B,Hyderabad,6.8,3,Startup,0.243,56,48,0.88,10500,0,1,1,105000
AMCAT-283267,Engineering,A,Delhi NCR,9.02,5,SME,0.367,30,53,0.76,22000,0,1,1,440000
AMCAT-1270390,Engineering,B,Delhi NCR,8.01,4,Startup,0.303,100,48,0.88,18500,1,1,1,200000
AMCAT-1043571,Engineering,B,Delhi NCR,6.9,5,Startup,0.305,19,52,0.76,13500,0,0,1,115000
AMCAT-134828,Engineering,B,Chennai,7.93,3,Startup,0.245,24,69,0.87,13000,1,1,1,180000
AMCAT-1081403,Engineering,B,Chennai,8.21,4,SME,0.32,78,76,0.88,17500,0,1,1,305000
AMCAT-1171130,Engineering,B,Delhi NCR,7.03,5,SME,0.282,19,52,0.88,11000,0,0,1,325000
AMCAT-918301,Engineering,A,Bengaluru,8.78,5,SME,0.382,59,48,0.88,16000,1,1,1,450000
AMCAT-457244,Engineering,B,Chennai,8.58,4,SME,0.215,0,52,0.78,15500,0,0,1,360000
AMCAT-189121,Engineering,B,Chennai,8.32,4,SME,0.31,85,48,0.84,13000,0,1,1,450000
AMCAT-602058,Engineering,B,Hyderabad,7.67,4,SME,0.204,84,50,0.76,14000,0,0,1,300000
AMCAT-030739,Engineering,B,Delhi NCR,6.78,4,SME,0.303,0,48,0.87,13500,1,1,1,310000
AMCAT-046302,Engineering,B,Delhi NCR,6.91,4,SME,0.282,54,57,0.87,15000,0,1,1,350000
AMCAT-1173129,Engineering,B,Chennai,7.98,5,Startup,0.338,69,57,0.76,17500,0,0,1,240000
AMCAT-391074,Engineering,B,Bengaluru,6.82,4,SME,0.293,20,50,0.78,14000,0,0,1,445000
AMCAT-1045625,Engineering,A,Chennai,7.3,5,SME,0.29,0,48,0.88,19500,0,0,1,300000
AMCAT-713778,Engineering,B,Delhi NCR,6.35,5,Startup,0.283,70,48,0.76,9000,1,1,1,225000
AMCAT-339367,Engineering,B,Hyderabad,6.56,3,Startup,0.243,40,50,0.78,14000,0,0,0,170000
AMCAT-543139,Engineering,B,Delhi NCR,6.54,3,Startup,0.217,9,45,0.76,12000,0,0,1,110000
AMCAT-627921,Engineering,B,Delhi NCR,6.19,5,MNC,0.308,81,48,0.78,11000,0,0,1,510000
AMCAT-552848,Engineering,A,Delhi NCR,7.63,4,Startup,0.327,61,48,0.76,16000,1,1,1,120000
AMCAT-539133,Engineering,B,Mumbai,7.7,5,SME,0.328,70,48,0.78,13000,0,0,1,425000
AMCAT-226736,Engineering,B,Chennai,6.83,4,Startup,0.207,64,50,0.84,16500,0,0,0,100000
AMCAT-530435,Engineering,B,Delhi NCR,8.27,4,SME,0.307,15,53,0.76,10500,1,1,1,370000
AMCAT-1029931,Engineering,B,Hyderabad,7.14,3,Startup,0.203,79,52,0.88,14000,0,1,1,240000
AMCAT-390177,Engineering,B,Bengaluru,8.1,5,MNC,0.307,28,48,0.78,13000,1,1,1,500000
AMCAT-274730,Engineering,B,Delhi NCR,7.03,4,Startup,0.282,45,50,0.84,13000,1,1,1,230000
AMCAT-190981,Engineering,A,Chennai,8.4,6,MNC,0.383,26,53,0.84,20500,1,1,1,550000
AMCAT-196759,Engineering,B,Delhi NCR,7.17,4,SME,0.269,36,53,0.84,15500,0,0,1,415000
AMCAT-1081710,Engineering,A,Hyderabad,7.6,5,SME,0.365,100,57,0.88,21500,1,1,1,320000
AMCAT-919397,Engineering,A,Delhi NCR,8.02,6,SME,0.377,49,48,0.88,17500,1,1,1,350000
AMCAT-790713,Engineering,B,Hyderabad,7.14,5,SME,0.28,66,50,0.76,12500,0,1,1,310000
AMCAT-1118166,Engineering,B,Mumbai,6.1,4,Startup,0.22,78,52,0.76,13500,0,0,0,100000
AMCAT-1007216,Engineering,B,Chennai,7.26,5,SME,0.292,77,48,0.88,14500,1,1,1,300000
AMCAT-423209,Engineering,B,Delhi NCR,5.9,4,Startup,0.248,28,52,0.78,14500,0,0,0,180000
AMCAT-421588,Engineering,B,Delhi NCR,7.19,4,Startup,0.269,43,53,0.78,11500,0,0,0,120000
AMCAT-1171272,Engineering,B,Mumbai,6.5,4,Startup,0.252,69,48,0.76,14000,0,1,1,100000
AMCAT-325611,Engineering,B,Chennai,7.63,3,Startup,0.239,37,50,0.78,14500,0,0,0,220000
AMCAT-1163951,Engineering,B,Bengaluru,7.4,4,SME,0.287,55,52,0.76,20500,1,1,1,300000
AMCAT-348134,Engineering,B,Hyderabad,7.37,5,SME,0.301,35,50,0.78,18500,0,0,0,410000
AMCAT-330102,Engineering,B,Hyderabad,8.1,3,Startup,0.267,49,48,0.78,12000,1,1,1,100000
AMCAT-1196014,Engineering,B,Delhi NCR,6.55,3,Startup,0.255,46,50,0.88,13500,1,1,1,180000
AMCAT-133085,Engineering,B,Delhi NCR,6.63,5,SME,0.322,13,48,0.87,10500,0,0,1,445000
AMCAT-329402,Engineering,B,Hyderabad,7.1,4,Startup,0.235,66,53,0.78,12500,1,1,1,265000
AMCAT-277307,Engineering,B,Delhi NCR,7.24,5,Startup,0.318,2,53,0.84,15000,0,0,0,215000
AMCAT-984958,Engineering,B,Delhi NCR,6.0,4,Startup,0.203,65,52,0.88,17000,1,1,1,285000
AMCAT-1069569,Engineering,B,Hyderabad,7.05,4,SME,0.219,99,52,0.88,12000,1,1,1,300000
AMCAT-1088625,Engineering,B,Chennai,7.7,4,Startup,0.272,66,50,0.88,12500,0,1,1,275000
AMCAT-633535,Engineering,B,Delhi NCR,7.3,5,Startup,0.289,80,50,0.76,8500,1,1,1,265000
AMCAT-746050,Engineering,A,Delhi NCR,6.91,4,SME,0.322,71,48,0.76,17500,0,1,1,300000
AMCAT-216972,Engineering,B,Delhi NCR,6.9,5,SME,0.31,63,53,0.84,11500,0,0,0,300000
AMCAT-533473,Engineering,B,Mumbai,6.5,5,SME,0.281,77,53,0.78,12500,0,0,1,325000
AMCAT-1097212,Engineering,B,Hyderabad,6.95,5,Startup,0.322,30,52,0.76,12000,0,0,1,170000
AMCAT-060259,Engineering,B,Delhi NCR,7.2,4,Startup,0.277,11,45,0.87,14000,1,1,1,220000
